ID_Venta,Fecha_Venta,Producto,Precio_Unitario,Cantidad,ID_Cliente,Tipo_Pago,ID_Empleado
172,2022-01-02 17:03:13.264421473,Smartwatch,427.4,3,103.0,nan,E003
173,2022-01-02 17:17:37.552517505,nan,616.98,2,101.0,Efectivo,E001
174,2022-01-02 17:32:01.840613537,Teléfono,935.45,3,101.0,Efectivo,E001
175,2022-01-02 17:46:26.128709569,Smartwatch,779.39,2,101.0,Tarjeta Crédito,E001
176,2022-01-02 18:00:50.416805601,Tablet,842.25,2,,Transferencia,E002
177,2022-01-02 18:15:14.704901633,Portátil,802.5,4,102.0,Efectivo,E003
178,2022-01-02 18:29:38.992997665,nan,954.31,3,,Transferencia,E001
179,2022-01-02 18:44:03.281093697,Tablet,158.5,4,101.0,Tarjeta Crédito,E003
180,2022-01-02 18:58:27.569189729,Portátil,823.68,2,103.0,Tarjeta Crédito,E003
181,2022-01-02 19:12:51.857285761,Smartwatch,688.66,3,102.0,nan,E001
182,2022-01-02 19:27:16.145381793,Teléfono,81.1,4,102.0,nan,E001
183,2022-01-02 19:41:40.433477825,Teléfono,428.91,2,,Efectivo,E001
184,2022-01-02 19:56:04.721573857,Teléfono,352.53,4,,Efectivo,E001
185,2022-01-02 20:10:29.009669889,Portátil,148.03,1,,nan,nan
186,2022-01-02 20:24:53.297765921,Teléfono,344.36,3,,Efectivo,E001
187,2022-01-02 20:39:17.585861953,Tablet,156.77,3,103.0,Efectivo,E002
188,2022-01-02 20:53:41.873957986,Tablet,53.67,2,103.0,Transferencia,E002
189,2022-01-02 21:08:06.162054018,Teléfono,893.22,4,102.0,nan,E003
190,2022-01-02 21:22:30.450150050,Cámara,199.0,4,103.0,Efectivo,E002
191,2022-01-02 21:36:54.738246082,Portátil,513.45,4,103.0,Transferencia,E003
192,2022-01-02 21:51:19.026342114,Cámara,102.64,1,101.0,Transferencia,E002
193,2022-01-02 22:05:43.314438146,Smartwatch,821.31,3,102.0,Efectivo,E001
194,2022-01-02 22:20:07.602534178,nan,768.27,1,102.0,nan,E003
195,2022-01-02 22:34:31.890630210,Teléfono,828.77,4,103.0,Tarjeta Crédito,E003
196,2022-01-02 22:48:56.178726242,Cámara,729.09,3,103.0,Efectivo,E001
197,2022-01-02 23:03:20.466822274,Portátil,857.88,2,101.0,Transferencia,E003
198,2022-01-02 23:17:44.754918306,Smartwatch,332.46,1,,Efectivo,E002
199,2022-01-02 23:32:09.043014338,Portátil,309.0,4,102.0,Transferencia,E003
200,2022-01-02 23:46:33.331110370,Cámara,90.04,1,,nan,nan
201,2022-01-03 00:00:57.619206402,nan,972.91,4,101.0,Efectivo,E003
202,2022-01-03 00:15:21.907302434,Smartwatch,340.72,4,103.0,Transferencia,E002
203,2022-01-03 00:29:46.195398466,Auriculares,266.05,4,102.0,Tarjeta Crédito,E002
204,2022-01-03 00:44:10.483494498,Smartwatch,114.84,3,101.0,Tarjeta Crédito,E001
205,2022-01-03 00:58:34.771590530,Portátil,458.33,1,103.0,Efectivo,E002
206,2022-01-03 01:12:59.059686562,Teléfono,818.18,4,102.0,Transferencia,E002
207,2022-01-03 01:27:23.347782594,Teléfono,353.61,4,101.0,Efectivo,E001
208,2022-01-03 01:41:47.635878626,Teléfono,791.35,2,,nan,E003
209,2022-01-03 01:56:11.923974658,Smartwatch,785.19,1,,Transferencia,E002
210,2022-01-03 02:10:36.212070690,Smartwatch,939.69,1,101.0,Transferencia,E003
211,2022-01-03 02:25:00.500166722,nan,293.97,2,103.0,nan,E001
212,2022-01-03 02:39:24.788262754,Auriculares,605.79,4,,nan,E002
213,2022-01-03 02:53:49.076358786,Teléfono,932.97,1,102.0,Efectivo,E003
214,2022-01-03 03:08:13.364454818,Cámara,273.1,1,101.0,nan,E001
215,2022-01-03 03:22:37.652550850,Auriculares,178.09,2,103.0,Efectivo,E002
216,2022-01-03 03:37:01.940646882,nan,411.43,2,101.0,nan,E002
217,2022-01-03 03:51:26.228742914,Smartwatch,914.89,1,103.0,Efectivo,E002
218,2022-01-03 04:05:50.516838946,Smartwatch,762.06,2,101.0,Transferencia,E002
219,2022-01-03 04:20:14.804934978,Portátil,85.6,1,102.0,Transferencia,E001
220,2022-01-03 04:34:39.093031010,Auriculares,784.6,4,102.0,Tarjeta Crédito,E002
221,2022-01-03 04:49:03.381127042,Teléfono,479.24,4,103.0,Efectivo,E003
222,2022-01-03 05:03:27.669223074,Teléfono,683.0,3,101.0,Tarjeta Crédito,E002
223,2022-01-03 05:17:51.957319106,Cámara,724.96,3,,Transferencia,E002
224,2022-01-03 05:32:16.245415138,Portátil,575.34,4,103.0,Transferencia,E003
225,2022-01-03 05:46:40.533511170,Portátil,711.84,1,103.0,Transferencia,E002
226,2022-01-03 06:01:04.821607202,Auriculares,653.55,1,103.0,nan,E001
227,2022-01-03 06:15:29.109703234,nan,697.27,1,101.0,Efectivo,E002
228,2022-01-03 06:29:53.397799266,Smartwatch,148.71,2,,Transferencia,E001
229,2022-01-03 06:44:17.685895298,Smartwatch,769.57,1,103.0,Transferencia,E001
230,2022-01-03 06:58:41.973991330,Teléfono,516.41,4,,Efectivo,E002
231,2022-01-03 07:13:06.262087362,Teléfono,229.34,2,,Transferencia,E002
232,2022-01-03 07:27:30.550183394,Auriculares,345.97,4,101.0,Efectivo,E002
233,2022-01-03 07:41:54.838279426,Tablet,639.51,2,103.0,Efectivo,E001
234,2022-01-03 07:56:19.126375458,Teléfono,965.71,1,103.0,nan,E003
235,2022-01-03 08:10:43.414471490,nan,228.68,3,,Efectivo,E001
236,2022-01-03 08:25:07.702567522,Portátil,900.53,4,102.0,Efectivo,E002
237,2022-01-03 08:39:31.990663554,nan,664.44,1,102.0,nan,E002
238,2022-01-03 08:53:56.278759586,Smartwatch,522.61,3,103.0,nan,E003
239,2022-01-03 09:08:20.566855618,Auriculares,401.69,2,102.0,Efectivo,E001
240,2022-01-03 09:22:44.854951650,Auriculares,196.25,3,103.0,Efectivo,E002
241,2022-01-03 09:37:09.143047682,nan,164.61,1,,nan,E001
242,2022-01-03 09:51:33.431143714,Cámara,174.39,3,,nan,E003
243,2022-01-03 10:05:57.719239746,Teléfono,266.73,3,102.0,nan,E003
244,2022-01-03 10:20:22.007335778,Smartwatch,860.0,1,103.0,nan,E001
245,2022-01-03 10:34:46.295431810,Teléfono,282.86,3,,nan,nan
246,2022-01-03 10:49:10.583527842,Portátil,388.66,1,101.0,Transferencia,E003
247,2022-01-03 11:03:34.871623874,Tablet,935.36,4,103.0,nan,E001
248,2022-01-03 11:17:59.159719906,Portátil,506.28,1,,nan,E001
249,2022-01-03 11:32:23.447815938,Tablet,612.48,3,103.0,Efectivo,E001
250,2022-01-03 11:46:47.735911970,Cámara,837.3,3,101.0,Efectivo,E003
251,2022-01-03 12:01:12.024008002,nan,185.71,3,,Transferencia,E002
252,2022-01-03 12:15:36.312104034,Portátil,557.04,3,101.0,Tarjeta Crédito,E002
253,2022-01-03 12:30:00.600200066,nan,143.87,3,,Efectivo,E001
254,2022-01-03 12:44:24.888296098,nan,565.64,4,101.0,Tarjeta Crédito,E003
255,2022-01-03 12:58:49.176392130,Smartwatch,614.66,1,101.0,Efectivo,E001
256,2022-01-03 13:13:13.464488162,Smartwatch,568.78,4,101.0,Tarjeta Crédito,E002
257,2022-01-03 13:27:37.752584194,Portátil,396.07,3,102.0,Efectivo,E002
258,2022-01-03 13:42:02.040680226,Teléfono,856.02,1,102.0,Transferencia,E001
259,2022-01-03 13:56:26.328776258,Portátil,344.15,4,102.0,Transferencia,E001
260,2022-01-03 14:10:50.616872290,Teléfono,775.73,3,,Transferencia,E001
261,2022-01-03 14:25:14.904968322,Cámara,476.06,3,102.0,Tarjeta Crédito,E002
262,2022-01-03 14:39:39.193064354,Tablet,815.15,3,102.0,Transferencia,E003
263,2022-01-03 14:54:03.481160386,nan,801.96,3,,nan,E002
264,2022-01-03 15:08:27.769256418,Portátil,829.85,2,101.0,nan,E003
265,2022-01-03 15:22:52.057352450,Smartwatch,706.33,2,103.0,Transferencia,E003
266,2022-01-03 15:37:16.345448482,Smartwatch,770.06,3,102.0,Transferencia,E001
267,2022-01-03 15:51:40.633544514,Cámara,790.76,2,103.0,Transferencia,E003
268,2022-01-03 16:06:04.921640546,Teléfono,763.78,2,101.0,Transferencia,E002
269,2022-01-03 16:20:29.209736578,Tablet,422.48,1,103.0,nan,E002
270,2022-01-03 16:34:53.497832610,Portátil,237.57,2,101.0,Efectivo,E001
271,2022-01-03 16:49:17.785928642,Portátil,971.62,1,103.0,Efectivo,E003
272,2022-01-03 17:03:42.074024674,Auriculares,293.49,3,,Transferencia,E002
273,2022-01-03 17:18:06.362120706,Smartwatch,981.36,4,,Efectivo,E002
274,2022-01-03 17:32:30.650216738,Portátil,147.08,3,103.0,Transferencia,E001
275,2022-01-03 17:46:54.938312770,nan,835.63,3,,Transferencia,E001
276,2022-01-03 18:01:19.226408802,Cámara,250.94,2,101.0,Tarjeta Crédito,E003
277,2022-01-03 18:15:43.514504834,Smartwatch,839.4,3,101.0,Efectivo,E003
278,2022-01-03 18:30:07.802600866,Smartwatch,115.73,1,102.0,Efectivo,E001
279,2022-01-03 18:44:32.090696898,Portátil,873.37,2,101.0,Tarjeta Crédito,E001
280,2022-01-03 18:58:56.378792930,Portátil,447.45,2,102.0,nan,E003
281,2022-01-03 19:13:20.666888962,Auriculares,928.58,1,102.0,Tarjeta Crédito,E003
282,2022-01-03 19:27:44.954984994,Auriculares,660.17,2,101.0,Transferencia,E001
283,2022-01-03 19:42:09.243081027,Auriculares,540.54,4,,Transferencia,E001
284,2022-01-03 19:56:33.531177059,Portátil,588.88,2,103.0,Transferencia,E002
285,2022-01-03 20:10:57.819273091,nan,559.63,1,,nan,E001
286,2022-01-03 20:25:22.107369123,Tablet,179.93,3,102.0,Transferencia,E002
287,2022-01-03 20:39:46.395465155,Tablet,687.99,4,,nan,nan
288,2022-01-03 20:54:10.683561187,Cámara,219.78,2,102.0,Tarjeta Crédito,E001
289,2022-01-03 21:08:34.971657219,Portátil,846.27,1,101.0,Transferencia,E001
290,2022-01-03 21:22:59.259753251,Auriculares,109.76,2,101.0,Tarjeta Crédito,E001
291,2022-01-03 21:37:23.547849283,Tablet,956.68,1,103.0,Tarjeta Crédito,E002
292,2022-01-03 21:51:47.835945315,Portátil,191.51,2,,nan,E003
293,2022-01-03 22:06:12.124041347,Smartwatch,197.7,3,,Tarjeta Crédito,E003
294,2022-01-03 22:20:36.412137379,Smartwatch,116.58,4,,nan,nan
295,2022-01-03 22:35:00.700233411,Smartwatch,192.32,1,,nan,nan
296,2022-01-03 22:49:24.988329443,Auriculares,595.29,3,101.0,Efectivo,E001
297,2022-01-03 23:03:49.276425475,Cámara,389.06,1,102.0,nan,E003
298,2022-01-03 23:18:13.564521507,Tablet,937.15,2,,Transferencia,E001
299,2022-01-03 23:32:37.852617539,Tablet,398.01,2,101.0,Tarjeta Crédito,E001
300,2022-01-03 23:47:02.140713571,Teléfono,929.83,4,,Efectivo,E002
301,2022-01-04 00:01:26.428809603,Auriculares,105.64,2,102.0,Transferencia,E002
302,2022-01-04 00:15:50.716905635,Smartwatch,258.94,2,101.0,Tarjeta Crédito,E002
303,2022-01-04 00:30:15.005001667,Teléfono,850.54,1,101.0,Efectivo,E003
304,2022-01-04 00:44:39.293097699,Cámara,205.49,1,103.0,Transferencia,E001
305,2022-01-04 00:59:03.581193731,Teléfono,297.24,2,103.0,Transferencia,E003
306,2022-01-04 01:13:27.869289763,Portátil,402.66,3,101.0,nan,E001
307,2022-01-04 01:27:52.157385795,Tablet,604.99,2,102.0,Efectivo,E003
308,2022-01-04 01:42:16.445481827,Smartwatch,422.7,4,103.0,Efectivo,E001
309,2022-01-04 01:56:40.733577859,nan,304.76,3,102.0,Efectivo,E001
310,2022-01-04 02:11:05.021673891,Smartwatch,512.6,1,101.0,Transferencia,E001
311,2022-01-04 02:25:29.309769923,nan,555.27,1,,Transferencia,E003
312,2022-01-04 02:39:53.597865955,Teléfono,964.29,2,103.0,Transferencia,E003
313,2022-01-04 02:54:17.885961987,nan,692.16,2,,Tarjeta Crédito,E003
314,2022-01-04 03:08:42.174058019,Teléfono,232.56,4,101.0,Transferencia,E003
315,2022-01-04 03:23:06.462154051,Smartwatch,773.26,2,102.0,Efectivo,E003
316,2022-01-04 03:37:30.750250083,Auriculares,982.08,4,103.0,nan,E002
317,2022-01-04 03:51:55.038346115,Auriculares,193.18,1,103.0,Transferencia,E003
318,2022-01-04 04:06:19.326442147,Teléfono,204.14,2,102.0,Tarjeta Crédito,E002
319,2022-01-04 04:20:43.614538179,Portátil,158.95,4,101.0,nan,E001
320,2022-01-04 04:35:07.902634211,Teléfono,326.22,2,102.0,Efectivo,E002
321,2022-01-04 04:49:32.190730243,Portátil,711.18,3,101.0,nan,E003
322,2022-01-04 05:03:56.478826275,Teléfono,366.14,1,101.0,nan,E001
323,2022-01-04 05:18:20.766922307,Cámara,140.68,2,102.0,nan,E003
324,2022-01-04 05:32:45.055018339,Cámara,648.41,3,101.0,Efectivo,E001
325,2022-01-04 05:47:09.343114371,Teléfono,786.38,3,103.0,Tarjeta Crédito,E002
326,2022-01-04 06:01:33.631210403,Auriculares,434.79,4,103.0,Tarjeta Crédito,E003
